,expert1,expert2,expert3,consensus,model_p0,model_p1,model_p2,model_pred_int
0,0,1,1,1,0.06275402244864381,0.8540622091604746,0.08318374719965504,1.0
1,2,2,2,2,0.002110030765555493,9.729032579564034e-10,0.997890001831665,2.0
2,2,2,2,2,0.07993878591578607,8.817606378386245e-08,0.9200611147921904,2.0
3,0,0,2,0,0.0006597336323466152,1.0123484344148892e-05,0.9993300749212608,2.0
4,2,0,2,2,3.155166768339934e-07,5.612787468134428e-08,0.9999995721461368,2.0
5,2,1,2,2,3.243108189110444e-06,6.083424580793917e-05,0.9999358690469791,2.0
6,0,0,2,0,0.9712001614898327,0.00151916641061689,0.027280643767880974,0.0
7,2,2,2,2,0.009719256930111442,0.01728109050054627,0.972999615885783,2.0
8,1,1,1,1,0.0002179518759248822,0.9360650620280921,0.06371699860191882,1.0
9,0,0,2,0,0.8231891583722017,1.6661354266034323e-05,0.17679423535264505,0.0
10,0,0,0,0,0.37823815627643853,0.0013376544957282022,0.6204242074959438,2.0
11,2,2,2,2,9.480434916584813e-08,1.4417229346128102e-12,0.9999998809295793,2.0
12,1,1,1,1,1.429946192010867e-08,7.535623257393098e-06,0.999992420181103,2.0
13,2,2,2,2,2.865459114431701e-08,9.961231171473628e-06,0.9999899619258059,2.0
14,2,2,2,2,1.489410168326738e-06,4.6174182533054164e-10,0.9999985480748522,2.0
15,2,2,2,2,6.072541935964182e-06,1.3771332589840313e-06,0.9999926544120967,2.0
16,1,1,1,1,9.65602273694799e-07,0.9999972022780366,1.8467661675458658e-06,1.0
17,2,2,2,2,2.721685831374998e-06,0.00027238037432653073,0.9997250038003358,2.0
18,2,2,2,2,3.308828422365906e-08,3.1679880246882064e-10,0.9999999844861673,2.0
19,2,2,2,2,2.1753858938386786e-08,1.302030469552129e-09,1.0,2.0
20,2,2,2,2,1.139461738297598e-07,5.543421544018656e-07,0.9999994001969368,2.0
21,0,0,0,0,0.9998547654631693,1.0062326737170224e-05,0.00013514808097170317,0.0
22,2,1,1,1,0.00023001734734862112,0.018904331387602724,0.9808656535569753,2.0
23,2,2,2,2,1.3438846666979747e-07,3.3600885962492555e-11,0.9999998809823902,2.0
24,1,1,1,1,2.8880017225674237e-05,0.00043208994475207874,0.9995390060641967,2.0
25,0,0,0,0,1.4618217960560287e-06,3.8449164208032016e-05,0.9999600220911589,2.0
26,1,1,1,1,0.000313729214212799,0.0002540921714171418,0.9994321848425898,2.0
27,0,0,0,0,0.19488906897640845,0.001595988906956336,0.8035149237330188,2.0
28,2,2,2,2,6.846569408081038e-07,1.427149731725308e-09,0.9999993297259109,2.0
29,2,2,2,2,2.0025737021422962e-07,4.1730752964319606e-08,0.9999997880915104,2.0
30,2,1,2,2,1.7213074328956482e-07,2.5081876471599873e-08,0.9999998053672581,2.0
31,1,1,1,1,0.00026500977517684987,0.9898924542765428,0.009842509005608235,1.0
32,2,1,1,1,5.393987066781847e-05,0.0001419672571500996,0.9998040924256202,2.0
33,1,1,1,1,5.549412321670388e-06,0.9993943777427603,0.0006001110824058742,1.0
34,2,2,2,2,9.826879634328156e-08,1.17726250623007e-10,0.9999998892566456,2.0
35,0,0,2,0,0.13075053121428937,0.6578218673821539,0.21142760664224625,1.0
36,2,1,1,1,1.512368570655287e-09,8.918643157329598e-08,0.9999998915054777,2.0
37,0,0,2,0,0.018678707885101176,2.4946788471424952e-05,0.9812963244183948,2.0
38,2,1,2,2,1.2330956409428717e-07,2.9447029536999736e-10,0.9999998825141849,2.0
39,1,1,1,1,7.516913314020712e-07,0.9999849963919587,1.4272238530566028e-05,1.0
40,1,1,1,1,0.0013495703806256643,1.4873728787279106e-05,0.9986355745337505,2.0
41,2,2,2,2,5.509036077322449e-07,3.486914326167323e-07,0.9999990861255608,2.0
42,1,1,1,1,0.004450169100891799,0.2275282354094088,0.7680215243599378,2.0
43,2,2,2,2,9.899111716071829e-05,4.0347723775369104e-06,0.9998969711907826,2.0
44,0,0,0,0,0.0011439988250856459,1.740385506820985e-07,0.9988558688451281,2.0
45,2,2,2,2,2.704311383700908e-08,1.8492878127267243e-12,1.0,2.0
