,image_name,expert1,expert2,expert3,consensus,noise_level,model_p0,model_p1,model_p2
0,n04099969_6944,0,0,0,0,120,0.7948101230001106,0.16505642242242566,0.04013345457746382
1,n02504013_1455,1,1,2,1,120,0.01209248496978759,0.9845491169550055,0.003358398075206959
2,n04111531_10555,0,2,0,0,120,0.9160094203378227,0.0035346286640569615,0.08045595099812022
3,n02504013_6118,1,1,1,1,120,0.007703630863985434,0.9908734106472388,0.0014229584887757085
4,n02132136_7584,1,1,1,1,120,0.016554700743661624,0.9785887943550186,0.004856504901319853
5,n02113023_14422,1,1,1,1,120,0.027285974071492518,0.9690464826214875,0.0036675433070198996
6,n03085013_23800,0,0,0,0,120,0.0990799604295357,0.06559673143561479,0.8353233081348495
7,n04557648_12225,0,0,0,0,120,0.9176104368669525,0.04171029132963868,0.040679271803408676
8,n03041632_20697,0,0,0,0,120,0.972563594799168,0.020670256336851683,0.006766148863980336
9,n03417042_9689,2,2,2,2,120,0.016079184511892254,0.0035255024113435185,0.9803953130767643
10,n04505470_10211,0,0,0,0,120,0.931730433431793,0.011572783077818708,0.056696783490388425
11,n03041632_45775,0,0,0,0,120,0.7247523134925765,0.21713968496936722,0.058108001538056245
12,n03417042_10965,0,2,0,0,120,0.4065719621682662,0.017795798436440195,0.5756322393952935
13,n03792782_16408,2,2,2,2,120,0.011436995983104948,0.02467501789283459,0.9638879861240602
14,n04560804_1089,0,2,2,2,120,0.8530319489373226,0.10299007540482776,0.04397797565784971
15,n02134418_4696,1,1,1,1,120,0.07453527995488586,0.9128873640015898,0.012577356043524456
16,n03792782_9354,2,2,2,2,120,0.20068583859484745,0.2934697211558527,0.5058444402492999
17,n03662601_33002,2,2,2,2,120,0.010788021213634414,0.001126062860169306,0.9880859159261962
18,n04505470_3905,0,0,0,0,120,0.9487940759319012,0.011124592260923714,0.040081331807175
19,n04579145_2276,0,1,0,0,120,0.22483745583490192,0.7669320869652695,0.00823045719982856
20,n02133161_3183,1,0,0,0,120,0.005862049353633311,0.9867528019882382,0.0073851486581282995
