,image_name,noise_level,Y_H,consensus,expert1,expert2,expert3,model_p0,model_p1,model_p2,model_pred_int
0,n04612504_37673,125,"[2, 1, 2]",2,2,1,2,0.232447892565624,0.292491677763394,0.47506042967098183,2
1,n03344393_10556,125,"[2, 2, 2]",2,2,2,2,3.9453972202426504e-05,6.155541805659824e-05,0.999898990609741,2
2,n02025239_2481,110,"[1, 1, 1]",1,1,1,1,1.4671760353877457e-13,0.9999999999947482,5.105046956783368e-12,1
3,n02690373_18412,125,"[2, 2, 2]",2,2,2,2,0.0005447426090512441,0.000690048027992839,0.9987652093629558,2
4,n02011460_5735,125,"[1, 1, 1]",1,1,1,1,0.19957748690073698,0.7442836649926735,0.05613884810658949,1
5,n03196217_886,110,"[0, 0, 0]",0,0,0,0,0.9973346262246461,0.0008379417512431529,0.0018274320241108454,0
6,n03792782_8658,125,"[0, 1, 1]",1,0,1,1,0.22567699925382623,0.4347716430138304,0.3395513577323433,1
7,n02111500_4875,125,"[0, 1, 1]",1,0,1,1,0.0003305245912889373,0.9992622053071577,0.000407270101553469,1
8,n02690373_12044,110,"[2, 2, 2]",2,2,2,2,8.502063543257524e-07,8.980900460849007e-07,0.9999982517035996,2
9,n03196217_1423,110,"[0, 0, 2]",0,0,0,2,0.3097831942786206,0.032360934179038875,0.6578558715423406,2
10,n01558993_6287,125,"[1, 1, 1]",1,1,1,1,7.544060927785837e-07,0.9999984606206653,7.849732420442479e-07,1
11,n03792782_11921,110,"[2, 0, 2]",2,2,0,2,0.0003932200790871483,0.0055451062121934696,0.9940616737087195,2
12,n03796401_2543,125,"[2, 0, 2]",2,2,0,2,0.6894410283068357,0.021840124143372015,0.2887188475497922,0
13,n02504013_3503,110,"[0, 1, 1]",1,0,1,1,0.018925394390803464,0.9792819588675018,0.0017926467416945777,1
14,n02011460_7877,110,"[1, 1, 1]",1,1,1,1,1.808905411629507e-06,0.9999931463678524,5.04472673612422e-06,1
15,n02123159_3996,110,"[0, 1, 1]",1,0,1,1,0.005239608471010822,0.9946446064181821,0.00011578511080714507,1
16,n02504013_593,110,"[2, 1, 1]",1,2,1,1,0.0006021721511867212,0.9993133499039105,8.447794490255947e-05,1
17,n03417042_4462,110,"[2, 1, 2]",2,2,1,2,0.596860524649939,0.10256940909528466,0.3005700662547763,0
18,n03041632_3101,110,"[0, 0, 0]",0,0,0,0,0.9991059847108725,2.685918160480618e-05,0.0008671561075226165,0
19,n04505470_1551,110,"[0, 0, 0]",0,0,0,0,0.9981685315541978,0.0007741972076422512,0.0010572712381599417,0
20,n03041632_54627,110,"[0, 0, 2]",0,0,0,2,0.5525416390410227,0.40917064211303383,0.038287718845943404,0
21,n03792782_35669,125,"[2, 0, 2]",2,2,0,2,0.058352573805482914,0.7801993720991431,0.16144805409537394,1
22,n02690373_2447,110,"[2, 1, 2]",2,2,1,2,0.02323055977606905,0.0913763620312375,0.8853930781926935,2
23,n03085013_16724,125,"[0, 0, 2]",0,0,0,2,0.9713274987795157,0.0049614320082944805,0.023711069212189823,0
24,n02132136_7507,125,"[0, 1, 1]",1,0,1,1,0.0009594055269069339,0.9974875853119533,0.0015530091611397816,1
25,n04560804_14130,110,"[0, 0, 0]",0,0,0,0,0.9999316762206721,6.78220130546551e-05,5.017662730741121e-07,0
26,n02835271_9862,125,"[2, 0, 2]",2,2,0,2,0.01632483819486439,0.017165755086514113,0.9665094067186215,2
27,n02708093_1673,125,"[0, 0, 1]",0,0,0,1,0.24183037052087406,0.7105623672992772,0.04760726217984881,1
28,n03041632_2630,110,"[0, 0, 2]",0,0,0,2,0.997938226584787,0.001187753756390973,0.0008740196588219905,0
29,n03796401_16472,110,"[2, 2, 2]",2,2,2,2,4.5882864682196474e-07,1.695510972796961e-07,0.999999371620256,2
30,n04111531_5643,110,"[0, 2, 2]",2,0,2,2,0.1501986307305257,0.010180440611482027,0.8396209286579922,2
31,n04111531_1794,110,"[0, 0, 0]",0,0,0,0,0.9905180729779766,0.00015685893185804974,0.009325068090165306,0
32,n02123045_7197,125,"[1, 1, 1]",1,1,1,1,0.0017180645657389974,0.998185386449243,9.654898501805059e-05,1
33,n02123045_9349,125,"[0, 1, 1]",1,0,1,1,0.1097687529545018,0.8752720459503471,0.014959201095151113,1
34,n02132136_6817,110,"[2, 1, 1]",1,2,1,1,8.689301844125617e-05,0.999839391049654,7.371593190480852e-05,1
35,n02504013_2945,125,"[2, 1, 1]",1,2,1,1,0.0014249848772499923,0.9985360772998086,3.893782294131184e-05,1
36,n03041632_29276,110,"[0, 0, 0]",0,0,0,0,0.9825716083584011,0.001401360933071551,0.01602703070852729,0
37,n03796401_40,110,"[2, 2, 2]",2,2,2,2,0.0016721570962311848,0.0003457016611124354,0.9979821412426563,2
38,n04591713_6069,125,"[0, 0, 2]",0,0,0,2,0.41233857853401507,0.0756338825648521,0.5120275389011328,2
39,n03041632_5640,125,"[0, 0, 0]",0,0,0,0,0.981052771326957,0.007384852348144588,0.011562376324898543,0
40,n04429376_8105,125,"[0, 1, 1]",1,0,1,1,0.9001187042257727,0.09721602782255954,0.0026652679516678286,0
41,n03041632_29125,125,"[0, 0, 1]",0,0,0,1,0.9720839122517557,0.025644144237041828,0.002271943511202408,0
42,n02814533_874,125,"[2, 0, 2]",2,2,0,2,0.00011152794790998457,0.00019859732680781923,0.9996898747252821,2
43,n02123394_8605,125,"[2, 1, 1]",1,2,1,1,0.0012807957360502866,0.9971263797156726,0.0015928245482769623,1
44,n04560804_11696,125,"[0, 0, 0]",0,0,0,0,0.991286081471083,0.007948765423108352,0.0007651531058086927,0
45,n02134418_4110,110,"[2, 1, 1]",1,2,1,1,0.000605539754997028,0.998709798061859,0.0006846621831438555,1
46,n02134084_3898,110,"[1, 1, 1]",1,1,1,1,2.603626176918586e-06,0.999992815306276,4.581067547125076e-06,1
47,n04429376_22381,125,"[2, 1, 2]",2,2,1,2,0.6240753997746966,0.33141216699123355,0.04451243323407006,0
48,n02951358_3452,125,"[2, 0, 2]",2,2,0,2,7.984314414048115e-05,0.04248328770624674,0.9574368691496129,2
49,n02708093_2588,125,"[0, 0, 2]",0,0,0,2,0.8730027244750517,0.09116095885192839,0.03583631667302009,0
50,n04111531_21822,110,"[0, 0, 0]",0,0,0,0,0.9998082574105539,7.103747752712699e-06,0.00018463884169364205,0
51,n04099969_17056,125,"[0, 0, 1]",0,0,0,1,0.5875452845393684,0.3788908716272906,0.03356384383334107,0
52,n01796340_11254,110,"[1, 1, 1]",1,1,1,1,5.0874984850956396e-08,0.9999999202334984,2.8891516643656068e-08,1
53,n03085013_20349,125,"[0, 0, 0]",0,0,0,0,0.9094372204390919,0.033265183160320094,0.057297596400588124,0
54,n03796401_21290,110,"[2, 2, 2]",2,2,2,2,0.0008366955589365083,7.984543831558346e-05,0.9990834590027479,2
55,n03662601_8406,110,"[2, 2, 2]",2,2,2,2,5.7751297663443834e-12,6.222710072729563e-12,0.9999999999880024,2
56,n02504013_6722,110,"[2, 1, 1]",1,2,1,1,0.0014074513438172818,0.9978554569187971,0.0007370917373855773,1
57,n04505470_4997,110,"[0, 0, 2]",0,0,0,2,0.8832707499343068,0.10568258757269867,0.01104666249299462,0
58,n03376595_9025,125,"[0, 0, 2]",0,0,0,2,0.3879845545802693,0.11559207746082169,0.49642336795890885,2
59,n02504013_15825,125,"[2, 1, 1]",1,2,1,1,5.600306089047452e-05,0.9999370152375704,6.981701539165716e-06,1
60,n04505470_4484,125,"[0, 0, 0]",0,0,0,0,0.9999618382083878,7.757584056478515e-06,3.04042075558813e-05,0
61,n02835271_7350,125,"[2, 2, 2]",2,2,2,2,0.004004860117353688,0.005339183291751505,0.9906559565908949,2
62,n02027492_1678,110,"[1, 1, 1]",1,1,1,1,2.5075265346223855e-13,0.999999999995195,4.5541809453807775e-12,1
63,n04285008_7325,125,"[2, 2, 2]",2,2,2,2,7.284751300563757e-06,9.796297561186063e-06,0.9999829189511383,2
64,n02109525_53049,110,"[1, 1, 1]",1,1,1,1,0.002648500053907323,0.995562691644575,0.0017888083015177047,1
65,n02013706_1024,125,"[2, 1, 1]",1,2,1,1,1.022651989045653e-05,0.9999890682315323,7.052485771803674e-07,1
66,n03100240_159,110,"[2, 2, 2]",2,2,2,2,3.766875514768182e-05,0.00013105666969122375,0.9998312745751612,2
67,n02835271_15087,125,"[2, 2, 2]",2,2,2,2,0.0022084324316815314,0.00028521912412849917,0.9975063484441902,2
68,n02123597_10,110,"[1, 1, 1]",1,1,1,1,3.488556945674493e-07,0.9999996433735401,7.77076535451334e-09,1
69,n04548280_5845,125,"[0, 0, 2]",0,0,0,2,0.8091548670355762,0.016082286805140077,0.17476284615928367,0
